Site,Level.x,Area,LOT,id,Unit,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,BlankType,X,Y,Z,Spit,Level.y,Code,Phase
VB,NA,TRUE,LOT-257,I18-3230,I18,3230,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,YesComplete,No,Convergent,Triangular,Feather,Straight,3,Unidirectional,9.88,20.44,18.59,20.29,10.37,29.91,8.68,15.45,84.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,Yes,NA,0,NA,Flake,118.8710022,126.427002,23.89299965,7,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3096,I18,3096,Quartz,Fine,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Convergent,Irregular,Feather,Straight,2,Unidirectional,9.03,14.15,11.28,14.31,6.9,24.59,4.88,8.82,103.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.4120026,126.8759995,23.94300079,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2815,I18,2815,Chalcedony,NA,Blank,NA,NA,NA,0%,NA,NA,Winged,No,No,Irregular,Trapezoidal,Feather,Curved,6,Bidirectional,6.36,24.91,19.34,24.74,21.64,45.57,2.75,19.34,81.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.8679962,126.7539978,24.16600037,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-2698,I18,2698,Quartz,Medium,Blank,NA,NA,NA,1-30%,Mesial,Cobble,Plain,No,No,Parallel,Irregular,Feather,Twisted,2,Unidirectional,5.79,8.3,4.57,7.97,9.48,21.49,2.27,3.36,87.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,ElongatedProd,118.4229965,126.6930008,24.13800049,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-3235,I18,3235,Chert,NA,Blank,NA,NA,NA,1-30%,Proximal,Indeterminate,Plain,YesComplete,No,Convergent,Triangular,Feather,Straight,4,Bidirectional,7.53,14.23,10.9,15.22,6.66,21.6,2.95,10.65,137.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,Yes,NA,0,NA,Flake,118.3960037,126.2149963,23.88299942,7,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2819,I18,2819,Quartz,Medium,Blank,NA,NA,NA,100%,NA,Cobble,Plain,YesPartial,No,Convergent,Irregular,Feather,Straight,0,None,9.89,26.37,18.03,26.11,15.94,25.87,9.01,14.7,75.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.9020004,126.7490005,24.15099907,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-3268,I18,3268,Quartz,Medium,Blank,NA,NA,NA,0%,NA,NA,Plain,No,Yes,Irregular,Irregular,Hinge,Straight,1,Unidirectional,5.01,23.43,14.06,18.1,8.72,19.3,4.64,11.69,95,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.5749969,126.3730011,23.85300064,8,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3263,I18,3263,Quartz,Fine,Blank,NA,NA,NA,0%,NA,NA,Crushed,No,No,Irregular,Irregular,Pointed,Straight,2,Unidirectional,8.57,17.32,9.12,17.12,5.01,28.61,4.04,8.22,111.8,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.8190002,126.5660019,23.84199905,8,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2789,I18,2789,Chert,NA,Blank,NA,NA,NA,1-30%,RightLateral,Cobble,Plain,YesComplete,No,Irregular,Irregular,Step,Straight,1,Unidirectional,8.76,47.79,37.36,48.4,6.71,33.3,6.45,18.92,82.6,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.7080002,126.3560028,24.1420002,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-3087,I18,3087,Quartz,Medium,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,10.8,22.82,19.47,23.05,14.84,20.29,9.62,19.69,98.8,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.1149979,126.2320023,23.94300079,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3182,I18,3182,Chert,NA,RetouchedPiece,NA,Blank,NA,0%,NA,NA,Plain,No,No,Irregular,Trapezoidal,Feather,Straight,4,Unidirectional,5.05,16.94,3.46,12.2,10.25,26.29,2.27,4.59,96,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,Retouched flake,0,NA,NA,118.663002,126.8330002,23.9090004,6,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-2997,I18,2997,Quartz,Fine,Blank,NA,NA,NA,100%,NA,Cobble,Crushed,No,Yes,Circular,Other,Feather,Straight,0,None,7.62,27.79,21.01,25.03,16.89,20.1,4.89,4.35,90.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,Yes,NA,0,NA,Flake,118.4380035,126.9840012,23.97999954,4,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3083,I18,3083,Chert,Medium,Blank,NA,NA,NA,1-30%,Distal,Indeterminate,Plain,No,No,Irregular,Triangular,Step,Irregular,4,Bidirectional,8.06,17.76,8.73,14.95,19.2,36.97,5.24,5.56,81.7,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,NA,ElongatedProd,118.9509964,126.6490021,23.97500038,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-2984,I18,2984,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Crushed,No,No,Irregular,Trapezoidal,Overshoot,Curved,7,Unidirectional,5.81,21.8,10.16,19.78,14.11,20.1,2.64,10.19,92,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,NA,Flake,118.1470032,126.189003,23.98699951,4,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-2991,I18,2991,Quartz,Fine,Blank,NA,NA,NA,31-60%,LeftLateral,Cobble,Crushed,No,No,Convergent,Triangular,Feather,Curved,2,Unidirectional,6.13,15.88,12.37,15.25,6.68,28.33,2.95,5.37,143.5,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,NA,Flake,118.2789993,126.8239975,24.01099968,4,5,LITHIC,Lower 5
